battery_health,cpu,created_at,disks,full_charge_capacity,graphicscard,manufacturer,model,operatingsystem,ram_gb,serialnumber,systemsku,touchscreen
100.11,AMD Ryzen 7 7730U with Radeon Graphics (8C/16T),2024-12-02T16:22:00,476.94GB,52560,AMD Radeon (TM) Graphics [1920x1200],LENOVO,82XX,Microsoft Windows 11 Home 10.0.26100,16,PW06MEW7,LENOVO_MT_82XX_BU_idea_FM_IdeaPad Flex 5 14ABR8,nan
101.47,AMD Ryzen 7 7730U with Radeon Graphics (8C/16T),2024-12-02T16:16:00,476.94GB,53270,AMD Radeon (TM) Graphics [1920x1200],LENOVO,82XX,Microsoft Windows 11 Home 10.0.26100,16,PW06MD40,LENOVO_MT_82XX_BU_idea_FM_IdeaPad Flex 5 14ABR8,nan
100.23,AMD Ryzen 7 7730U with Radeon Graphics (8C/16T),2024-12-02T15:57:00,476.94GB,52620,AMD Radeon (TM) Graphics [1920x1200],LENOVO,82XX,Microsoft Windows 11 Home 10.0.26100,16,PW06MEJS,LENOVO_MT_82XX_BU_idea_FM_IdeaPad Flex 5 14ABR8,nan
100.93,AMD Ryzen 7 7730U with Radeon Graphics (8C/16T),2024-12-02T15:48:00,476.94GB,52990,AMD Radeon (TM) Graphics [1920x1200],LENOVO,82XX,Microsoft Windows 11 Home 10.0.26100,16,PW06MDBL,LENOVO_MT_82XX_BU_idea_FM_IdeaPad Flex 5 14ABR8,nan
93.21,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz (4C/8T),2024-12-02T15:43:00,476.94GB,50390,Intel(R) UHD Graphics 620 [2560x1440],LENOVO,20LGS0955T,Microsoft Windows 11 Pro 10.0.26100,16,R90TMQ9W,LENOVO_MT_20LG_BU_Think_FM_ThinkPad X1 Yoga 3rd,nan
100.57,AMD Ryzen 7 7730U with Radeon Graphics (8C/16T),2024-12-02T15:35:00,476.94GB,52800,AMD Radeon (TM) Graphics [1920x1200],LENOVO,82XX,Microsoft Windows 11 Home 10.0.26100,16,PW06MEWF,LENOVO_MT_82XX_BU_idea_FM_IdeaPad Flex 5 14ABR8,nan
101.73,AMD Ryzen 7 7730U with Radeon Graphics (8C/16T),2024-12-02T15:06:00,476.94GB,53410,AMD Radeon (TM) Graphics [1920x1200],LENOVO,82XX,Microsoft Windows 11 Home 10.0.26100,16,PW07TK3Q,LENOVO_MT_82XX_BU_idea_FM_IdeaPad Flex 5 14ABR8,nan
79.28,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz (4C/8T),2024-12-02T14:53:00,476.94GB,42860,Intel(R) UHD Graphics 620 [2560x1440],LENOVO,20LGS0955T,Microsoft Windows 11 Pro 10.0.26100,16,R90T7FQ4,LENOVO_MT_20LG_BU_Think_FM_ThinkPad X1 Yoga 3rd,nan
101.96,AMD Ryzen 7 7730U with Radeon Graphics (8C/16T),2024-12-02T14:45:00,476.94GB,53530,AMD Radeon (TM) Graphics [1920x1200],LENOVO,82XX,Microsoft Windows 11 Home 10.0.26100,16,PW07N9WR,LENOVO_MT_82XX_BU_idea_FM_IdeaPad Flex 5 14ABR8,nan
102.3,AMD Ryzen 7 7730U with Radeon Graphics (8C/16T),2024-12-02T14:32:00,476.94GB,53710,AMD Radeon (TM) Graphics [1920x1200],LENOVO,82XX,Microsoft Windows 11 Home 10.0.26100,16,PW06MD9C,LENOVO_MT_82XX_BU_idea_FM_IdeaPad Flex 5 14ABR8,nan
98.99,AMD Ryzen 7 7730U with Radeon Graphics (8C/16T),2024-12-02T14:24:00,476.94GB,51970,AMD Radeon (TM) Graphics [1920x1200],LENOVO,82XX,Microsoft Windows 11 Home 10.0.26100,16,PW06Y8DN,LENOVO_MT_82XX_BU_idea_FM_IdeaPad Flex 5 14ABR8,nan
100.3,AMD Ryzen 7 7730U with Radeon Graphics (8C/16T),2024-12-02T14:04:00,476.94GB,52660,AMD Radeon (TM) Graphics [1920x1200],LENOVO,82XX,Microsoft Windows 11 Home 10.0.26100,16,PW06MD5D,LENOVO_MT_82XX_BU_idea_FM_IdeaPad Flex 5 14ABR8,nan
96.86,Intel(R) Core(TM) i9-9880H CPU @ 2.30GHz (8C/16T),2024-12-02T13:42:00,953.86GB,87170,Intel(R) UHD Graphics 630 [3840x2160]; NVIDIA Quadro RTX 4000 [Not Active],LENOVO,20QQS23Q0H,Microsoft Windows 11 Pro 10.0.26100,32,PF2L7RQE,LENOVO_MT_20QQ_BU_Think_FM_ThinkPad P53,nan
95.09,AMD Ryzen 7 7730U with Radeon Graphics (8C/16T),2024-12-02T09:52:00,476.94GB,49920,AMD Radeon (TM) Graphics [1920x1200],LENOVO,82XX,Microsoft Windows 11 Home 10.0.26100,16,PW079R2G,LENOVO_MT_82XX_BU_idea_FM_IdeaPad Flex 5 14ABR8,nan
99.01,AMD Ryzen 7 5700U with Radeon Graphics (8C/16T),2024-11-29T17:18:00,476.94GB,51980,AMD Radeon(TM) Graphics [1920x1200],LENOVO,82R9,Microsoft Windows 11 Home 10.0.26100,16,PW0269WC,LENOVO_MT_82R9_BU_idea_FM_IdeaPad Flex 5 14ALC7,Unknow
83,Intel(R) Core(TM) i7-8665U CPU @ 1.90GHz (4C/8T),2024-11-29T15:08:00,476.94GB,42340,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20QGS1T219,Microsoft Windows 11 Pro 10.0.22631,16,PF1CV5NQ,LENOVO_MT_20QG_BU_Think_FM_ThinkPad X1 Yoga 4th,Unknow
99.98,Intel(R) Core(TM) i7-8665U CPU @ 1.90GHz (4C/8T),2024-11-29T14:38:00,476.94GB,50990,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20QGS1S800,Microsoft Windows 11 Pro 10.0.22631,16,PF26HAZG,LENOVO_MT_20QG_BU_Think_FM_ThinkPad X1 Yoga 4th,Unknow
73.82,Intel(R) Core(TM) i5-7300U CPU @ 2.60GHz (2C/4T),2024-11-29T14:24:00,238.47GB,37643,Intel(R) HD Graphics 620 [1920x1080],Dell Inc.,Latitude 5490,Microsoft Windows 11 Pro 10.0.26100,16,JX7M5S2,816,Unknow
84.64,Intel(R) Core(TM) i5-7300U CPU @ 2.60GHz (2C/4T),2024-11-29T12:20:00,238.47GB,57555,Intel(R) HD Graphics 620 [1920x1080],Dell Inc.,Latitude 5490,Microsoft Windows 11 Pro 10.0.26100,16,412ZMQ2,816,Unknow
68.03,Intel(R) Core(TM) i5-7300U CPU @ 2.60GHz (2C/4T),2024-11-29T11:58:00,238.47GB,34690,Intel(R) HD Graphics 620 [1920x1080],Dell Inc.,Latitude 5490,Microsoft Windows 11 Pro 10.0.26100,16,5BT06S2,816,Unknow
